余生皆假期,7.9,(5459人评价),伊坂幸太郎/吕灵芝/新星出版社/2015-2/28
亲爱的阿道夫,8.4,(226人评价),[美]雷·布拉德伯里/徐黄兆、秦鹏、李懿、曹浏等/新星出版社/2016-5-1/40.00
奇迹,7.7,(1221人评价),[日]是枝裕和、[日]中村航/毛叶枫/北京联合出版公司/2016-5-20/32.00
哈利·波特与魔法石,9.0,(83159人评价),[英]J.K.罗琳/苏农/人民文学出版社/2000-9/19.50元
白夜行,9.1,(176243人评价),[日]东野圭吾/刘姿君/南海出版公司/2008-9/29.80元
当下四重奏,9.4,(106人评价),刘大任/深圳报业集团出版社/2016-12/45.00
夏日的庭院,8.3,(254人评价),汤本香树实/马敬、杜勤/文汇出版社/2008-4/19.00元
万火归一,8.7,(3149人评价),[阿根廷]胡里奥·科塔萨尔/范晔/人民文学出版社/2009-6/22.00
此间的少年,8.4,(34525人评价),江南/华文出版社/2004-1/25.00元
我二十九岁的夏天,7.9,(405人评价),有鹿/北京联合出版公司/2016-7/38.00元
语言的第七功能,7.6,(48人评价),[法]洛朗·比内/时利和、黄雅琴/海天出版社/2017-1/48.00元
小团圆,7.6,(39080人评价),张爱玲/北京十月文艺出版社/2009-4/28.00
失物之书,8.5,(10900人评价),[爱尔兰]约翰·康诺利/安之/人民文学出版社/2009-4/29.90
The Ones Who Walk Away from Omelas,8.8,(123人评价),UrsulaK.LeGuin/CreativeEducation/1992-10/USD21.35
没有色彩的多崎作和他的巡礼之年,8.3,(17970人评价),村上春树/施小炜/南海出版公司/2013-10-1/CNY39.50
单程票,8.3,(277人评价),[法]迪迪尔·范·考韦拉尔特/李珂/新星出版社/2016-9/32.00元
维罗妮卡决定去死,8.2,(6107人评价),[巴西]保罗·柯艾略/闵雪飞/南海出版公司/2010-8/22.00元
奇风岁月,8.8,(3156人评价),[美国]罗伯特·麦卡蒙/陈宗琛/译林出版社/2011-5/36.00元
喧哗与骚动,8.7,(2764人评价),(美)威廉﹒福克纳/李文俊/上海译文出版社/2004-08/25.00
都柏林人,8.6,(2488人评价),[爱尔兰]詹姆斯·乔伊斯/王逢振/上海译文出版社/2010-9/26.00元
寻欢作乐,8.4,(3663人评价),[英]威廉·萨默塞特·毛姆/叶尊/译林出版社/2013-2/29.80元
如何阅读一本小说,8.0,(1221人评价),[美]托马斯·福斯特/梁笑/南海出版公司/2015-4/39.5
